VS__Z,VS__u,VS__w,VS__ezz,VS__kzz,VS__szz_bot,VS__szz_top,VS__sth_bot,VS__sth_top,S__Z,S__u,S__w,S__ezz,S__kzz,S__szz_bot,S__szz_top,S__sth_bot,S__sth_top,B__Z,B__u,B__w,B__ezz,B__kzz,B__szz_bot,B__szz_top,B__sth_bot,B__sth_top,I__Z,I__u,I__w,I__ezz,I__kzz,I__szz_Iot,I__szz_top,I__sth_Iot,I__sth_top,Q__Z,Q__u,Q__w,Q__ezz,Q__kzz,Q__szz_Qot,Q__szz_top,Q__sth_Qot,Q__sth_top
3024,0.222981063,-0.517631905,-0.000160087,-7.17E-09,-29.30873415,-29.29770288,9.045864819,9.0491742,3192,0.309322731,-0.461494492,-0.000128499,-6.10E-09,-21.44721839,-21.43918013,14.18734988,14.18976136,840,0.389492725,-0.10251221,-0.000121888,1.39E-06,-18.31936453,-20.15125226,17.41552743,16.86596111,3738,0.772912429,-0.529411355,-0.000147866,-2.11E-08,-19.09407309,-19.08015144,34.95137958,34.95555608,3497,2.4740096,-0.589984881,-0.000212042,2.40E-06,-13.71410157,-14.24236494,94.84615353,94.68767452
3031.2,0.222937621,-0.518784328,-0.00016003,-8.42E-09,-29.29823688,-29.28528101,9.045538637,9.049425399,3199.6,0.309232297,-0.462470776,-0.000128418,-7.65E-09,-21.43243476,-21.42234614,14.18575601,14.1887826,842,0.389632196,-0.102755978,-0.00012188,1.41E-06,-18.29931511,-20.16243545,17.42974638,16.87081028,3779,0.771190392,-0.535455602,-0.000146975,-1.88E-08,-18.9274751,-18.9150733,34.91072545,34.91444598,3513.5,2.46390436,-0.593473359,-0.00021081,1.50E-06,-13.6756059,-14.00603279,94.45349264,94.35436457
3038.4,0.222893742,-0.519936337,-0.000159973,-9.77E-09,-29.28781644,-29.27278259,9.045154449,9.049664604,3207.2,0.30914142,-0.463446444,-0.000128337,-9.37E-09,-21.4177582,-21.40540843,14.18410052,14.18780545,844,0.389777317,-0.10299973,-0.000121872,1.44E-06,-18.27929263,-20.17359209,17.44428969,16.87599985,3820,0.769436559,-0.541463303,-0.000146083,-1.78E-08,-18.76148853,-18.74977864,34.86821443,34.8717274,3530,2.45421265,-0.596941759,-0.000209606,7.86E-07,-13.61747789,-13.79032584,94.08326264,94.03140825
3045.6,0.222849356,-0.521087933,-0.000159915,-1.12E-08,-29.27747343,-29.26020701,9.044706471,9.049886395,3214.8,0.309050001,-0.464421496,-0.000128256,-1.12E-08,-21.40319234,-21.38836338,14.18237569,14.18682438,846,0.389928185,-0.103243468,-0.000121866,1.46E-06,-18.25930964,-20.18470965,17.45915915,16.88153915,3861,0.767652764,-0.547434398,-0.00014519,-1.75E-08,-18.59596188,-18.58443482,34.82398849,34.82744661,3546.5,2.444739538,-0.600390425,-0.000208416,2.66E-07,-13.53829663,-13.59667076,93.72809254,93.7105803
3052.8,0.222804388,-0.522239115,-0.000159858,-1.28E-08,-29.26720774,-29.24755439,9.044188717,9.050084721,3222.4,0.308957932,-0.465395932,-0.000128175,-1.33E-08,-21.38874013,-21.37120804,14.18057341,14.18583304,848,0.390084893,-0.103487192,-0.000121859,1.48E-06,-18.23937908,-20.1957752,17.47435643,16.8874376,3902,0.765839531,-0.55336883,-0.000144295,-1.76E-08,-18.43076796,-18.41918492,34.77811336,34.78158827,3563,2.435342771,-0.603819538,-0.000207234,-7.82E-08,-13.44015666,-13.42297879,93.38166383,93.38681719
3060,0.222758757,-0.523389883,-0.0001598,-1.44E-08,-29.25701843,-29.23482566,9.043595036,9.050252867,3230,0.308865094,-0.466369751,-0.000128093,-1.55E-08,-21.37440372,-21.35394028,14.17868515,14.18482418,850,0.390247535,-0.103730905,-0.000121853,1.51E-06,-18.21951428,-20.2067754,17.48988307,16.89370474,3943,0.763996754,-0.559266542,-0.000143398,-1.78E-08,-18.26582882,-18.25412276,34.73060683,34.73411864,3579.5,2.425927973,-0.60722916,-0.000206053,-2.79E-07,-13.3268032,-13.26551049,93.03907796,93.05746577
3067.2,0.222712378,-0.524540235,-0.000159742,-1.62E-08,-29.24690362,-29.22202269,9.042919145,9.050383424,3237.6,0.308771359,-0.467342952,-0.000128012,-1.79E-08,-21.36018427,-21.33655891,14.17670198,14.18378959,852,0.390416205,-0.103974606,-0.000121848,1.53E-06,-18.199729,-20.21769648,17.50574044,16.90035019,3984,0.762124136,-0.565127482,-0.000142501,-1.79E-08,-18.10111042,-18.08929823,34.68146351,34.68500717,3596,2.416439634,-0.610619282,-0.00020487,-3.74E-07,-13.20238863,-13.12011927,92.69686879,92.72154959
3074.4,0.22266516,-0.525690172,-0.000159684,-1.80E-08,-29.23686038,-29.20914844,9.042154682,9.050468264,3245.2,0.308676588,-0.468315536,-0.000127931,-2.05E-08,-21.34608182,-21.31906391,14.17461467,14.18272004,854,0.390590997,-0.104218298,-0.000121843,1.55E-06,-18.1800374,-20.2285243,17.52192977,16.9073837,4025,0.760221412,-0.570951596,-0.000141602,-1.80E-08,-17.93660758,-17.92473241,34.630671,34.63423356,3612.5,2.406850978,-0.613989852,-0.000203683,-3.99E-07,-13.07073561,-12.98298823,92.35281844,92.37914266
3081.6,0.222617008,-0.526839692,-0.000159627,-1.99E-08,-29.22688456,-29.19620703,9.041295258,9.050498518,3252.8,0.308580633,-0.469287501,-0.000127849,-2.32E-08,-21.33209512,-21.30145655,14.17241369,14.18160526,856,0.390772002,-0.10446198,-0.000121839,1.58E-06,-18.16045407,-20.23924425,17.53845213,16.91481507,4066,0.758288421,-0.576738831,-0.000140702,-1.80E-08,-17.77232977,-17.7604317,34.57821798,34.5817874,3629,2.397154571,-0.617340807,-0.000202492,-3.82E-07,-12.93497666,-12.85099064,92.00568985,92.03088566
3088.8,0.222567822,-0.527988794,-0.000159569,-2.19E-08,-29.21697071,-29.18320393,9.04033452,9.050464555,3260.4,0.308483336,-0.470258847,-0.000127768,-2.61E-08,-21.3182214,-21.28373959,14.17008929,14.18043383,858,0.390959313,-0.104705655,-0.000121836,1.60E-06,-18.14099404,-20.24984131,17.55530841,16.92265423,4107,0.756325101,-0.582489136,-0.000139801,-1.80E-08,-17.60829144,-17.5963975,34.52409686,34.52766504,3645.5,2.387354592,-0.620672079,-0.000201298,-3.44E-07,-12.79744827,-12.72179577,91.65494919,91.67764494
