VS__Z,VS__u,VS__w,VS__ezz,VS__kzz,VS__szz_bot,VS__szz_top,VS__sth_bot,VS__sth_top,S__Z,S__u,S__w,S__ezz,S__kzz,S__szz_bot,S__szz_top,S__sth_bot,S__sth_top,B__Z,B__u,B__w,B__ezz,B__kzz,B__szz_bot,B__szz_top,B__sth_bot,B__sth_top,I__Z,I__u,I__w,I__ezz,I__kzz,I__szz_Iot,I__szz_top,I__sth_Iot,I__sth_top,Q__Z,Q__u,Q__w,Q__ezz,Q__kzz,Q__szz_Qot,Q__szz_top,Q__sth_Qot,Q__sth_top
11400,0.237027147,-1.794317834,-0.000131345,-2.47E-10,-22.61582599,-22.61555441,12.17742396,12.17750543,8400,0.3563276,-1.112702494,-0.000111784,-1.48E-09,-16.73715582,-16.7358518,18.73402662,18.73441782,4800,0.465432261,-0.600407567,-0.000115835,-2.17E-09,-16.43335905,-16.43144881,22.44836057,22.44893364,,,,,,,,,,,,,,,,,,
11408.8,0.23694237,-1.795473245,-0.000131249,-2.47E-10,-22.59696632,-22.59669491,12.17629967,12.17638109,8405.6,0.35619502,-1.11332825,-0.000111701,-1.48E-09,-16.72177029,-16.72046671,18.72980355,18.73019463,4804.8,0.465271084,-0.600963389,-0.000115757,-2.17E-09,-16.41941609,-16.41750591,22.44306247,22.44363552,,,,,,,,,,,,,,,,,,
11417.6,0.236857573,-1.796627811,-0.000131153,-2.47E-10,-22.57810839,-22.57783715,12.17517333,12.1752547,8411.2,0.356062392,-1.113953541,-0.000111617,-1.48E-09,-16.70638824,-16.70508509,18.72557634,18.72596729,4809.6,0.465109857,-0.601518838,-0.00011568,-2.17E-09,-16.40547644,-16.4035663,22.43776043,22.43833347,,,,,,,,,,,,,,,,,,
11426.4,0.236772757,-1.797781532,-0.000131057,-2.47E-10,-22.55925221,-22.55898114,12.17404493,12.17412625,8416.8,0.355929718,-1.114578365,-0.000111534,-1.48E-09,-16.69100965,-16.68970695,18.72134499,18.7217358,4814.4,0.46494858,-0.602073914,-0.000115602,-2.17E-09,-16.3915401,-16.38962996,22.43245445,22.4330275,,,,,,,,,,,,,,,,,,
11435.2,0.236687923,-1.798934409,-0.000130961,-2.47E-10,-22.54039777,-22.54012688,12.17291448,12.17299575,8422.4,0.355796998,-1.115202723,-0.000111451,-1.48E-09,-16.67563454,-16.67433229,18.7171095,18.71750018,4819.2,0.464787253,-0.602628617,-0.000115524,-2.17E-09,-16.37760709,-16.3756969,22.42714454,22.42771759,,,,,,,,,,,,,,,,,,
11444,0.236603069,-1.800086441,-0.000130865,-2.46E-10,-22.52154509,-22.52127436,12.17178198,12.1718632,8428,0.355664231,-1.115826614,-0.000111368,-1.48E-09,-16.66026291,-16.65896111,18.71286987,18.71326041,4824,0.464625876,-0.603182948,-0.000115447,-2.17E-09,-16.36367741,-16.36176709,22.42183067,22.42240377,,,,,,,,,,,,,,,,,,
11452.8,0.236518196,-1.801237629,-0.000130769,-2.46E-10,-22.50269417,-22.50242361,12.17064743,12.1707286,8433.6,0.355531418,-1.11645004,-0.000111284,-1.48E-09,-16.64489476,-16.64359341,18.7086261,18.70901651,4828.8,0.464464449,-0.603736906,-0.000115369,-2.17E-09,-16.34975109,-16.34784054,22.41651286,22.41708602,,,,,,,,,,,,,,,,,,
11461.6,0.236433304,-1.802387973,-0.000130673,-2.46E-10,-22.483845,-22.48357461,12.16951082,12.16959194,8439.2,0.355398558,-1.117073,-0.000111201,-1.48E-09,-16.62953009,-16.62822921,18.70437819,18.70476846,4833.6,0.464302972,-0.604290492,-0.000115292,-2.17E-09,-16.33582814,-16.33391723,22.41119108,22.41176436,,,,,,,,,,,,,,,,,,
11470.4,0.236348393,-1.803537472,-0.000130577,-2.46E-10,-22.4649976,-22.46472738,12.16837216,12.16845323,8444.8,0.355265652,-1.117695494,-0.000111118,-1.48E-09,-16.61416891,-16.61286851,18.70012614,18.70051626,4838.4,0.464141445,-0.604843705,-0.000115214,-2.17E-09,-16.32190856,-16.31999716,22.40586535,22.40643878,,,,,,,,,,,,,,,,,,
11479.2,0.236263463,-1.804686127,-0.000130481,-2.46E-10,-22.44615196,-22.44588191,12.16723145,12.16731246,8450.4,0.3551327,-1.118317523,-0.000111035,-1.48E-09,-16.59881122,-16.5975113,18.69586995,18.69625993,4843.2,0.463979867,-0.605396546,-0.000115136,-2.17E-09,-16.30799237,-16.30608032,22.40053566,22.40110928,,,,,,,,,,,,,,,,,,
11488,0.236178514,-1.805833937,-0.000130385,-2.46E-10,-22.42730809,-22.4270382,12.16608868,12.16616965,8456,0.354999701,-1.118939085,-0.000110952,-1.48E-09,-16.58345702,-16.5821576,18.69160962,18.69199945,4848,0.46381824,-0.605949015,-0.000115059,-2.18E-09,-16.29407958,-16.2921667,22.395202,22.39577586,,,,,,,,,,,,,,,,,,
11496.8,0.236093546,-1.806980904,-0.000130289,-2.45E-10,-22.40846599,-22.40819627,12.16494386,12.16502478,8461.6,0.354866656,-1.119560182,-0.000110869,-1.48E-09,-16.56810631,-16.5668074,18.68734516,18.68773483,4852.8,0.463656562,-0.606501111,-0.000114981,-2.18E-09,-16.28017021,-16.2782563,22.38986436,22.39043854,,,,,,,,,,,,,,,,,,
11505.6,0.236008559,-1.808127026,-0.000130193,-2.45E-10,-22.38962566,-22.38935612,12.16379699,12.16387786,8467.2,0.354733564,-1.120180814,-0.000110785,-1.48E-09,-16.5527591,-16.55146072,18.68307655,18.68346607,4857.6,0.463494835,-0.607052835,-0.000114904,-2.18E-09,-16.26626427,-16.26434911,22.38452275,22.3850973,,,,,,,,,,,,,,,,,,
11514.4,0.235923553,-1.809272304,-0.000130097,-2.45E-10,-22.37078712,-22.37051774,12.16264807,12.16272888,8472.8,0.354600426,-1.120800979,-0.000110702,-1.48E-09,-16.53741539,-16.53611755,18.67880381,18.67919317,4862.4,0.463333057,-0.607604187,-0.000114826,-2.18E-09,-16.25236176,-16.25044511,22.37917715,22.37975215,,,,,,,,,,,,,,,,,,
11523.2,0.235838527,-1.810416739,-0.000130001,-2.45E-10,-22.35195035,-22.35168115,12.16149709,12.16157785,8478.4,0.354467242,-1.12142068,-0.000110619,-1.48E-09,-16.52207518,-16.5207779,18.67452693,18.67491612,4867.2,0.463171228,-0.608155167,-0.000114749,-2.18E-09,-16.23846271,-16.23654431,22.37382756,22.37440308,,,,,,,,,,,,,,,,,,
11532,0.235753483,-1.811560329,-0.000129905,-2.45E-10,-22.33311537,-22.33284633,12.16034406,12.16042477,8484,0.354334012,-1.122039915,-0.000110536,-1.48E-09,-16.50673848,-16.50544177,18.67024592,18.67063493,4872,0.46300935,-0.608705775,-0.000114671,-2.18E-09,-16.22456712,-16.2226467,22.36847398,22.36905011,,,,,,,,,,,,,,,,,,
11540.8,0.23566842,-1.812703075,-0.00012981,-2.45E-10,-22.31428218,-22.31401331,12.15918898,12.15926964,8489.6,0.354200735,-1.122658684,-0.000110453,-1.47E-09,-16.49140529,-16.49010918,18.66596077,18.6663496,4876.8,0.462847421,-0.60925601,-0.000114594,-2.19E-09,-16.21067501,-16.20875226,22.36311639,22.36369321,,,,,,,,,,,,,,,,,,
11549.6,0.235583338,-1.813844977,-0.000129714,-2.45E-10,-22.29545077,-22.29518207,12.15803184,12.15811245,8495.2,0.354067412,-1.123276989,-0.00011037,-1.47E-09,-16.4760756,-16.47478011,18.66167148,18.66206013,4881.6,0.462685442,-0.609805874,-0.000114516,-2.19E-09,-16.19678638,-16.19486099,22.35775479,22.35833241,,,,,,,,,,,,,,,,,,
11558.4,0.235498238,-1.814986036,-0.000129618,-2.44E-10,-22.27662116,-22.27635263,12.15687265,12.15695321,8500.8,0.353934043,-1.123894828,-0.000110287,-1.47E-09,-16.46074943,-16.45945458,18.65737806,18.65776651,4886.4,0.462523412,-0.610355366,-0.000114439,-2.19E-09,-16.18290126,-16.18097288,22.35238917,22.35296768,,,,,,,,,,,,,,,,,,
11567.2,0.235413118,-1.816126251,-0.000129522,-2.44E-10,-22.25779335,-22.25752499,12.15571141,12.15579192,8506.4,0.353800628,-1.124512201,-0.000110204,-1.47E-09,-16.44542677,-16.44413259,18.6530805,18.65346876,4891.2,0.462361332,-0.610904486,-0.000114361,-2.20E-09,-16.16901965,-16.16708793,22.34701952,22.34759904,,,,,,,,,,,,,,,,,,
11576,0.235327979,-1.817265622,-0.000129426,-2.44E-10,-22.23896734,-22.23869915,12.15454811,12.15462857,8512,0.353667167,-1.12512911,-0.000110121,-1.47E-09,-16.43010764,-16.42881415,18.64877881,18.64916686,4896,0.462199201,-0.611453234,-0.000114284,-2.20E-09,-16.15514157,-16.15320613,22.34164584,22.34222647,,,,,,,,,,,,,,,,,,
11584.8,0.235242821,-1.818404149,-0.00012933,-2.44E-10,-22.22014313,-22.21987511,12.15338276,12.15346317,8517.6,0.353533659,-1.125745554,-0.000110038,-1.47E-09,-16.41479202,-16.41349925,18.64447299,18.64486082,4900.8,0.46203702,-0.61200161,-0.000114206,-2.21E-09,-16.14126702,-16.13932748,22.33626812,22.33684998,,,,,,,,,,,,,,,,,,
11593.6,0.235157645,-1.819541833,-0.000129234,-2.44E-10,-22.20132073,-22.20105288,12.15221536,12.15229572,8523.2,0.353400105,-1.126361533,-0.000109955,-1.47E-09,-16.39947993,-16.39818791,18.64016304,18.64055064,4905.6,0.461874787,-0.612549614,-0.000114129,-2.21E-09,-16.12739601,-16.12545196,22.33088634,22.33146955,,,,,,,,,,,,,,,,,,
11602.4,0.235072449,-1.820678673,-0.000129138,-2.44E-10,-22.18250014,-22.18223245,12.15104591,12.15112621,8528.8,0.353266505,-1.126977047,-0.000109872,-1.47E-09,-16.38417137,-16.38288012,18.63584895,18.63623633,4910.4,0.461712504,-0.613097247,-0.000114051,-2.22E-09,-16.11352856,-16.11157958,22.3255005,22.32608519,,,,,,,,,,,,,,,,,,
11611.2,0.234987235,-1.82181467,-0.000129043,-2.43E-10,-22.16368136,-22.16341384,12.1498744,12.14995466,8534.4,0.35313286,-1.127592096,-0.000109789,-1.47E-09,-16.36886634,-16.36757588,18.63153074,18.63191787,4915.2,0.46155017,-0.613644508,-0.000113974,-2.22E-09,-16.09966468,-16.09771032,22.32011058,22.32069689,,,,,,,,,,,,,,,,,,
11620,0.234902002,-1.822949823,-0.000128947,-2.43E-10,-22.14486439,-22.14459705,12.14870084,12.14878105,8540,0.352999168,-1.12820668,-0.000109706,-1.47E-09,-16.35356485,-16.35227522,18.62720839,18.62759528,4920,0.461387784,-0.614191398,-0.000113897,-2.23E-09,-16.08580437,-16.08384419,22.31471658,22.31530463,,,,,,,,,,,,,,,,,,
11628.8,0.23481675,-1.824084133,-0.000128851,-2.43E-10,-22.12604925,-22.12578207,12.14752523,12.14760538,8545.6,0.35286543,-1.1288208,-0.000109623,-1.47E-09,-16.33826689,-16.33697811,18.62288192,18.62326855,4924.8,0.461225347,-0.614737916,-0.000113819,-2.24E-09,-16.07194764,-16.06998118,22.30931848,22.30990842,,,,,,,,,,,,,,,,,,
11637.6,0.234731479,-1.8252176,-0.000128755,-2.43E-10,-22.10723593,-22.10696892,12.14634756,12.14642766,8551.2,0.352731646,-1.129434455,-0.00010954,-1.46E-09,-16.32297248,-16.32168458,18.61855132,18.61893769,4929.6,0.461062859,-0.615284063,-0.000113742,-2.24E-09,-16.0580945,-16.05612129,22.30391627,22.30450823,,,,,,,,,,,,,,,,,,
11646.4,0.23464619,-1.826350223,-0.000128659,-2.43E-10,-22.08842443,-22.08815759,12.14516784,12.14524789,8556.8,0.352597816,-1.130047645,-0.000109457,-1.46E-09,-16.3076816,-16.30639462,18.61421659,18.61460269,4934.4,0.460900318,-0.615829838,-0.000113664,-2.25E-09,-16.04424495,-16.04226452,22.29850995,22.29910407,,,,,,,,,,,,,,,,,,
11655.2,0.234560881,-1.827482003,-0.000128563,-2.43E-10,-22.06961476,-22.06934809,12.14398607,12.14406607,8562.4,0.35246394,-1.130660371,-0.000109374,-1.46E-09,-16.29239428,-16.29110823,18.60987774,18.61026356,4939.2,0.460737726,-0.616375242,-0.000113587,-2.26E-09,-16.030399,-16.02841087,22.29309948,22.29369593,,,,,,,,,,,,,,,,,,
11664,0.234475554,-1.828612939,-0.000128468,-2.43E-10,-22.05080693,-22.05054043,12.14280225,12.1428822,8568,0.352330019,-1.131272632,-0.000109291,-1.46E-09,-16.27711051,-16.27582542,18.60553476,18.60592029,4944,0.460575082,-0.616920274,-0.00011351,-2.27E-09,-16.01655666,-16.01456033,22.28768488,22.28828378,,,,,,,,,,,,,,,,,,
11672.8,0.234390208,-1.829743033,-0.000128372,-2.42E-10,-22.03200093,-22.0317346,12.14161637,12.14169627,8573.6,0.352196051,-1.131884429,-0.000109208,-1.46E-09,-16.2618303,-16.26054619,18.60118766,18.6015729,4948.8,0.460412385,-0.617464936,-0.000113432,-2.28E-09,-16.00271793,-16.00071292,22.28226611,22.28286761,,,,,,,,,,,,,,,,,,
11681.6,0.234304843,-1.830872284,-0.000128276,-2.42E-10,-22.01319676,-22.0129306,12.14042844,12.14050829,8579.2,0.352062038,-1.132495762,-0.000109125,-1.46E-09,-16.24655365,-16.24527055,18.59683644,18.59722137,4953.6,0.460249636,-0.618009226,-0.000113355,-2.29E-09,-15.9888828,-15.98686863,22.27684317,22.27744742,,,,,,,,,,,,,,,,,,
11690.4,0.23421946,-1.832000691,-0.00012818,-2.42E-10,-21.99439444,-21.99412845,12.13923845,12.13931825,8584.8,0.351927979,-1.133106631,-0.000109042,-1.46E-09,-16.23128057,-16.22999849,18.5924811,18.59286572,4958.4,0.460086834,-0.618553145,-0.000113278,-2.30E-09,-15.97505128,-15.97302747,22.27141605,22.27202319,,,,,,,,,,,,,,,,,,
11699.2,0.234134058,-1.833128256,-0.000128084,-2.42E-10,-21.97559397,-21.97532814,12.13804642,12.13812616,8590.4,0.351793874,-1.133717035,-0.000108959,-1.46E-09,-16.21601106,-16.21473001,18.58812164,18.58850595,4963.2,0.459923979,-0.619096692,-0.0001132,-2.31E-09,-15.96122336,-15.95918945,22.26598472,22.26659489,,,,,,,,,,,,,,,,,,
11708,0.234048637,-1.834254977,-0.000127989,-2.42E-10,-21.95679534,-21.95652969,12.13685233,12.13693202,8596,0.351659724,-1.134326975,-0.000108876,-1.46E-09,-16.20074512,-16.19946513,18.58375805,18.58414205,4968,0.459761071,-0.619639869,-0.000113123,-2.33E-09,-15.94739905,-15.94535458,22.26054917,22.26116251,,,,,,,,,,,,,,,,,,
11716.8,0.233963197,-1.835380856,-0.000127893,-2.42E-10,-21.93799856,-21.93773308,12.13565618,12.13573583,8601.6,0.351525528,-1.134936451,-0.000108794,-1.45E-09,-16.18548277,-16.18420384,18.57939035,18.57977403,4972.8,0.459598109,-0.620182675,-0.000113046,-2.34E-09,-15.93357833,-15.93152286,22.2551094,22.25572604,,,,,,,,,,,,,,,,,,
11725.6,0.233877739,-1.836505892,-0.000127797,-2.41E-10,-21.91920364,-21.91893832,12.13445799,12.13453758,8607.2,0.351391286,-1.135545463,-0.000108711,-1.45E-09,-16.170224,-16.16894613,18.57501853,18.57540189,4977.6,0.459435094,-0.62072511,-0.000112969,-2.35E-09,-15.9197612,-15.91769432,22.24966538,22.25028544,,,,,,,,,,,,,,,,,,
11734.4,0.233792261,-1.837630085,-0.000127701,-2.41E-10,-21.90041057,-21.90014543,12.13325774,12.13333728,8612.8,0.351256999,-1.136154011,-0.000108628,-1.45E-09,-16.15496883,-16.15369202,18.5706426,18.57102564,4982.4,0.459272024,-0.621267173,-0.000112891,-2.36E-09,-15.90594764,-15.90386896,22.2442171,22.2448407,,,,,,,,,,,,,,,,,,
11743.2,0.233706766,-1.838753435,-0.000127606,-2.41E-10,-21.88161937,-21.88135439,12.13205544,12.13213493,8618.4,0.351122666,-1.136762096,-0.000108545,-1.45E-09,-16.13971725,-16.1384415,18.56626255,18.56664527,4987.2,0.459108899,-0.621808866,-0.000112814,-2.38E-09,-15.89213764,-15.89004681,22.23876455,22.2393918,,,,,,,,,,,,,,,,,,
11752,0.233621251,-1.839875943,-0.00012751,-2.41E-10,-21.86283003,-21.86256522,12.13085108,12.13093053,8624,0.350988287,-1.137369716,-0.000108462,-1.45E-09,-16.12446929,-16.12319457,18.56187838,18.56226079,4992,0.45894572,-0.622350189,-0.000112737,-2.39E-09,-15.87833119,-15.87622788,22.23330771,22.2339387,,,,,,,,,,,,,,,,,,
11760.8,0.233535718,-1.840997608,-0.000127414,-2.41E-10,-21.84404255,-21.84377792,12.12964468,12.12972407,8629.6,0.350853864,-1.137976873,-0.000108379,-1.45E-09,-16.10922494,-16.10795124,18.55749009,18.5578722,4996.8,0.458782486,-0.62289114,-0.00011266,-2.41E-09,-15.86452826,-15.86241221,22.22784657,22.22848139,,,,,,,,,,,,,,,,,,
11769.6,0.233450166,-1.842118431,-0.000127318,-2.41E-10,-21.82525695,-21.82499248,12.12843622,12.12851556,8635.2,0.350719394,-1.138583566,-0.000108297,-1.45E-09,-16.09398421,-16.09271149,18.55309769,18.55347951,5001.6,0.458619196,-0.623431721,-0.000112582,-2.42E-09,-15.85072883,-15.84859981,22.22238112,22.22301983,,,,,,,,,,,,,,,,,,
11778.4,0.233364596,-1.843238411,-0.000127223,-2.41E-10,-21.80647321,-21.80620892,12.1272257,12.12730499,8640.8,0.35058488,-1.139189796,-0.000108214,-1.45E-09,-16.07874711,-16.07747533,18.54870118,18.54908271,5006.4,0.458455851,-0.623971931,-0.000112505,-2.44E-09,-15.83693289,-15.83479073,22.21691134,22.21755399,,,,,,,,,,,,,,,,,,
11787.2,0.233279007,-1.844357549,-0.000127127,-2.40E-10,-21.78769136,-21.78742724,12.12601314,12.12609237,8646.4,0.35045032,-1.139795562,-0.000108131,-1.45E-09,-16.06351365,-16.06224276,18.54430054,18.54468181,5011.2,0.458292449,-0.62451177,-0.000112428,-2.45E-09,-15.82314039,-15.82098499,22.21143723,22.21208385,,,,,,,,,,,,,,,,,,
11796,0.233193399,-1.845475844,-0.000127031,-2.40E-10,-21.76891138,-21.76864743,12.12479852,12.1248777,8652,0.350315714,-1.140400865,-0.000108048,-1.44E-09,-16.04828384,-16.04701378,18.53989579,18.54027681,5016,0.458128991,-0.625051239,-0.000112351,-2.47E-09,-15.8093513,-15.80718263,22.20595877,22.20660937,,,,,,,,,,,,,,,,,,
11804.8,0.233107773,-1.846593297,-0.000126935,-2.40E-10,-21.75013329,-21.74986951,12.12358185,12.12366098,8657.6,0.350181064,-1.141005704,-0.000107966,-1.44E-09,-16.03305769,-16.03178837,18.53548693,18.53586772,5020.8,0.457965476,-0.625590338,-0.000112274,-2.48E-09,-15.79556559,-15.79338369,22.20047595,22.20113052,,,,,,,,,,,,,,,,,,
11813.6,0.233022128,-1.847709908,-0.00012684,-2.40E-10,-21.73135709,-21.73109347,12.12236312,12.12244221,8663.2,0.350046368,-1.14161008,-0.000107883,-1.44E-09,-16.01783521,-16.01656654,18.53107394,18.53145454,5025.6,0.457801904,-0.626129066,-0.000112196,-2.50E-09,-15.78178322,-15.77958823,22.19498877,22.19564727,,,,,,,,,,,,,,,,,,
11822.4,0.232936465,-1.848825676,-0.000126744,-2.40E-10,-21.71258277,-21.71231933,12.12114234,12.12122138,8668.8,0.349911626,-1.142213992,-0.0001078,-1.44E-09,-16.0026164,-16.00134829,18.52665683,18.52703727,5030.4,0.457638274,-0.626667423,-0.000112119,-2.51E-09,-15.76800413,-15.76579629,22.18949722,22.19015957,,,,,,,,,,,,,,,,,,
11831.2,0.232850783,-1.849940603,-0.000126648,-2.40E-10,-21.69381034,-21.69354707,12.11991951,12.11999849,8674.4,0.34977684,-1.142817442,-0.000107717,-1.44E-09,-15.98740129,-15.98613361,18.5222356,18.52261591,5035.2,0.457474586,-0.62720541,-0.000112042,-2.53E-09,-15.75422828,-15.75200793,22.18400129,22.1846674,,,,,,,,,,,,,,,,,,
11840,0.232765082,-1.851054687,-0.000126553,-2.39E-10,-21.67503981,-21.67477671,12.11869463,12.11877356,8680,0.349642008,-1.143420428,-0.000107635,-1.44E-09,-15.97218988,-15.97092248,18.51781025,18.51819047,5040,0.45731084,-0.627743027,-0.000111965,-2.54E-09,-15.74045561,-15.73822321,22.17850099,22.17917071,,,,,,,,,,,,,,,,,,
11848.8,0.232679363,-1.852167929,-0.000126457,-2.39E-10,-21.65627118,-21.65600825,12.11746769,12.11754657,8685.6,0.349507131,-1.144022951,-0.000107552,-1.44E-09,-15.95698219,-15.95571492,18.51338076,18.51376094,5044.8,0.457147036,-0.628280274,-0.000111888,-2.55E-09,-15.72668606,-15.7244422,22.17299631,22.17366947,,,,,,,,,,,,,,,,,,
11857.6,0.232593625,-1.853280329,-0.000126361,-2.39E-10,-21.63750445,-21.63724169,12.1162387,12.11631753,8691.2,0.349372209,-1.144625012,-0.000107469,-1.44E-09,-15.94177823,-15.94051091,18.50894715,18.50932734,5049.6,0.456983173,-0.62881715,-0.000111811,-2.56E-09,-15.71291956,-15.71066496,22.16748726,22.16816364,,,,,,,,,,,,,,,,,,
11866.4,0.232507869,-1.854391888,-0.000126266,-2.39E-10,-21.61873963,-21.61847704,12.11500766,12.11508644,8696.8,0.349237242,-1.145226609,-0.000107387,-1.44E-09,-15.926578,-15.92531045,18.50450939,18.50488966,5054.4,0.456819251,-0.629353657,-0.000111734,-2.58E-09,-15.69915605,-15.69689158,22.16197383,22.16265317,,,,,,,,,,,,,,,,,,
11875.2,0.232422095,-1.855502604,-0.00012617,-2.39E-10,-21.59997672,-21.59971429,12.11377457,12.11385329,8702.4,0.349102229,-1.145827743,-0.000107304,-1.44E-09,-15.91138154,-15.91011352,18.5000675,18.5004479,5059.2,0.456655269,-0.629889793,-0.000111656,-2.59E-09,-15.68539544,-15.68312213,22.15645604,22.15713803,,,,,,,,,,,,,,,,,,
11884,0.232336302,-1.856612479,-0.000126074,-2.39E-10,-21.58121571,-21.58095346,12.11253942,12.11261809,8708,0.348967172,-1.146428415,-0.000107221,-1.44E-09,-15.89618885,-15.89492012,18.49562145,18.49600207,5064,0.456491228,-0.630425559,-0.000111579,-2.59E-09,-15.67163765,-15.66935671,22.1509339,22.15161819,,,,,,,,,,,,,,,,,,
11892.8,0.23225049,-1.857721512,-0.000125979,-2.38E-10,-21.56245662,-21.56219454,12.11130222,12.11138084,8713.6,0.348832069,-1.147028624,-0.000107139,-1.44E-09,-15.88099994,-15.87973024,18.49117126,18.49155217,5068.8,0.456327127,-0.630960955,-0.000111502,-2.60E-09,-15.65788259,-15.6555954,22.14540743,22.14609358,,,,,,,,,,,,,,,,,,
11901.6,0.23216466,-1.858829703,-0.000125883,-2.38E-10,-21.54369945,-21.54343754,12.11006296,12.11014154,8719.2,0.34869692,-1.14762837,-0.000107056,-1.45E-09,-15.86581483,-15.86454388,18.4867169,18.48709819,5073.6,0.456162967,-0.631495981,-0.000111425,-2.61E-09,-15.64413017,-15.64183832,22.13987664,22.14056419,,,,,,,,,,,,,,,,,,
11910.4,0.232078811,-1.859937052,-0.000125787,-2.38E-10,-21.5249442,-21.52468246,12.10882166,12.10890018,8724.8,0.348561727,-1.148227654,-0.000106974,-1.45E-09,-15.85063354,-15.84936102,18.48225838,18.48264014,5078.4,0.455998746,-0.632030637,-0.000111348,-2.61E-09,-15.63038028,-15.62808556,22.13434155,22.13502997,,,,,,,,,,,,,,,,,,
11919.2,0.231992944,-1.86104356,-0.000125692,-2.38E-10,-21.50619088,-21.5059293,12.1075783,12.10765677,8730.4,0.348426488,-1.148826475,-0.000106891,-1.45E-09,-15.83545609,-15.83418165,18.47779568,18.47817801,5083.2,0.455834465,-0.632564924,-0.000111271,-2.61E-09,-15.61663282,-15.61433724,22.1288022,22.12949088,,,,,,,,,,,,,,,,,,
11928,0.231907059,-1.862149227,-0.000125596,-2.38E-10,-21.48743948,-21.48717807,12.10633288,12.10641131,8736,0.348291203,-1.149424834,-0.000106809,-1.45E-09,-15.82028249,-15.81900577,18.47332879,18.47371181,5088,0.455670124,-0.63309884,-0.000111194,-2.61E-09,-15.60288767,-15.60059348,22.12325862,22.12394688,,,,,,,,,,,,,,,,,,
11936.8,0.231821155,-1.863254052,-0.0001255,-2.38E-10,-21.46869001,-21.46842877,12.10508542,12.10516379,8741.6,0.348155873,-1.150022731,-0.000106726,-1.46E-09,-15.80511275,-15.80383336,18.46885771,18.46924153,5092.8,0.455505722,-0.633632387,-0.000111117,-2.61E-09,-15.58914471,-15.5868544,22.11771085,22.11839794,,,,,,,,,,,,,,,,,,
11945.6,0.231735233,-1.864358035,-0.000125405,-2.38E-10,-21.44994248,-21.44968141,12.1038359,12.10391422,8747.2,0.348020497,-1.150620165,-0.000106643,-1.46E-09,-15.7899469,-15.78866441,18.46438242,18.46476716,5097.6,0.455341261,-0.634165564,-0.00011104,-2.60E-09,-15.57540382,-15.57312014,22.11215892,22.11284402,,,,,,,,,,,,,,,,,,
11954.4,0.231649292,-1.865461178,-0.000125309,-2.37E-10,-21.43119688,-21.43093598,12.10258433,12.1026626,8752.8,0.347885076,-1.151217137,-0.000106561,-1.46E-09,-15.77478495,-15.77349893,18.45990291,18.46028872,5102.4,0.45517674,-0.634698372,-0.000110963,-2.59E-09,-15.56166485,-15.55939083,22.1066029,22.1072851,,,,,,,,,,,,,,,,,,
11963.2,0.231563333,-1.866563479,-0.000125214,-2.37E-10,-21.41245323,-21.41219249,12.1013307,12.10140892,8758.4,0.347749609,-1.151813646,-0.000106478,-1.47E-09,-15.75962692,-15.75833688,18.45541916,18.45580617,5107.2,0.455012159,-0.63523081,-0.000110886,-2.57E-09,-15.54792768,-15.54566662,22.10104283,22.10172115,,,,,,,,,,,,,,,,,,
11972,0.231477356,-1.867664938,-0.000125118,-2.37E-10,-21.39371152,-21.39345094,12.10007502,12.1001532,8764,0.347614095,-1.152409694,-0.000106396,-1.47E-09,-15.74447282,-15.74317827,18.45093117,18.45131953,5112,0.454847519,-0.635762878,-0.000110809,-2.55E-09,-15.53419215,-15.53194765,22.09547878,22.09615213,,,,,,,,,,,,,,,,,,
11980.8,0.23139136,-1.868765557,-0.000125022,-2.37E-10,-21.37497175,-21.37471134,12.09881729,12.09889542,8769.6,0.347478536,-1.15300528,-0.000106313,-1.48E-09,-15.72932267,-15.72802309,18.44643891,18.44682879,5116.8,0.45468282,-0.636294577,-0.000110732,-2.53E-09,-15.52045812,-15.5182341,22.08991083,22.09057803,,,,,,,,,,,,,,,,,,
11989.6,0.231305346,-1.869865334,-0.000124927,-2.37E-10,-21.35623394,-21.35597368,12.09755751,12.09763559,8775.2,0.34734293,-1.153600403,-0.000106231,-1.48E-09,-15.71417648,-15.71287133,18.44194238,18.44233392,5121.6,0.454518063,-0.636825906,-0.000110655,-2.50E-09,-15.50672543,-15.5045261,22.08433904,22.08499884,,,,,,,,,,,,,,,,,,
11998.4,0.231219314,-1.87096427,-0.000124831,-2.37E-10,-21.33749808,-21.33723798,12.09629567,12.0963737,8780.8,0.347207277,-1.154195065,-0.000106148,-1.49E-09,-15.69903427,-15.69772298,18.43744155,18.43783493,5126.4,0.454353249,-0.637356866,-0.000110578,-2.47E-09,-15.49299391,-15.49082385,22.07876352,22.07941453,,,,,,,,,,,,,,,,,,
12007.2,0.231133263,-1.872062366,-0.000124736,-2.37E-10,-21.31876417,-21.31850424,12.09503178,12.09510976,8786.4,0.347071578,-1.154789265,-0.000106066,-1.50E-09,-15.68389605,-15.68257804,18.4329364,18.4333318,5131.2,0.454188377,-0.637887457,-0.000110501,-2.43E-09,-15.4792634,-15.4771275,22.07318434,22.07382511,,,,,,,,,,,,,,,,,,
