R,Zinv,Z,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top,,,,,,,,,,
237.5970000000,14.3181000000,486.0000000000,238.1740000000,0.1966670000,0.7620000000,15.4365000000,0.0035049200,0.0034750900,0.0032237300,0.0031938500,982.8660000000,974.3390000000,939.6060000000,931.0730000000,,,,,,,,,,
239.6010000000,14.5642000000,485.0000000000,240.1930000000,0.1983340000,0.7680000000,15.4213000000,0.0035047500,0.0034749400,0.0032186800,0.0031888100,982.4950000000,973.9740000000,938.4850000000,929.9540000000,,,,,,,,,,
241.6030000000,14.8125000000,485.0000000000,242.2110000000,0.2000000000,0.7730000000,15.4059000000,0.0035048400,0.0034745200,0.0032136300,0.0031837600,982.1830000000,973.5500000000,937.3810000000,928.8180000000,,,,,,,,,,
243.6070000000,15.0630000000,485.0000000000,244.2300000000,0.2016670000,0.7780000000,15.3904000000,0.0035047700,0.0034742700,0.0032084900,0.0031786200,981.8280000000,973.1560000000,936.2470000000,927.6720000000,,,,,,,,,,
245.6090000000,15.3155000000,485.0000000000,246.2480000000,0.2033330000,0.7830000000,15.3748000000,0.0035045600,0.0034741600,0.0032033600,0.0031734900,981.4430000000,972.7930000000,935.1040000000,926.5350000000,,,,,,,,,,
247.6120000000,15.5703000000,484.0000000000,248.2670000000,0.2050000000,0.7880000000,15.3590000000,0.0035043900,0.0034740100,0.0031981300,0.0031682600,981.0600000000,972.4140000000,933.9430000000,925.3750000000,,,,,,,,,,
249.6130000000,15.8272000000,484.0000000000,250.2850000000,0.2066670000,0.7930000000,15.3432000000,0.0035040900,0.0034739700,0.0031929000,0.0031630300,980.6510000000,972.0620000000,932.7740000000,924.2240000000,,,,,,,,,,
251.6150000000,16.0863000000,484.0000000000,252.3040000000,0.2083340000,0.7980000000,15.3271000000,0.0035039900,0.0034737400,0.0031875700,0.0031577100,980.2780000000,971.6610000000,931.5980000000,923.0390000000,,,,,,,,,,
253.6160000000,16.3476000000,484.0000000000,254.3220000000,0.2100000000,0.8030000000,15.3110000000,0.0035040200,0.0034733900,0.0031822500,0.0031523800,979.9340000000,971.2310000000,930.4310000000,921.8460000000,,,,,,,,,,
255.6180000000,16.6111000000,483.0000000000,256.3410000000,0.2116670000,0.8080000000,15.2947000000,0.0035036000,0.0034734800,0.0031768400,0.0031469700,979.4830000000,970.8950000000,929.2130000000,920.6630000000,,,,,,,,,,
257.6180000000,16.8766000000,483.0000000000,258.3590000000,0.2133340000,0.8130000000,15.2783000000,0.0035033000,0.0034734500,0.0031714200,0.0031415600,979.0600000000,970.5310000000,928.0030000000,919.4720000000,,,,,,,,,,
259.6190000000,17.1445000000,483.0000000000,260.3770000000,0.2150010000,0.8180000000,15.2618000000,0.0035034900,0.0034729200,0.0031659200,0.0031360600,978.7400000000,970.0520000000,926.8060000000,918.2270000000,,,,,,,,,,
261.6190000000,17.4144000000,483.0000000000,262.3950000000,0.2166670000,0.8230000000,15.2452000000,0.0035034600,0.0034726100,0.0031604200,0.0031305500,978.3710000000,969.6220000000,925.5950000000,916.9970000000,,,,,,,,,,
263.6200000000,17.6866000000,482.0000000000,264.4140000000,0.2183340000,0.8280000000,15.2284000000,0.0035028800,0.0034728500,0.0031548200,0.0031249600,977.8740000000,969.3060000000,924.3260000000,915.7830000000,,,,,,,,,,
265.6190000000,17.9609000000,482.0000000000,266.4320000000,0.2200000000,0.8330000000,15.2115000000,0.0035024000,0.0034730000,0.0031492200,0.0031193600,977.3990000000,968.9690000000,923.0640000000,914.5630000000,,,,,,,,,,
267.6190000000,18.2375000000,482.0000000000,268.4510000000,0.2216670000,0.8370000000,15.1944000000,0.0035024200,0.0034726400,0.0031435300,0.0031136800,977.0290000000,968.5140000000,921.8150000000,913.2900000000,,,,,,,,,,
269.6170000000,18.5162000000,481.0000000000,270.4690000000,0.2233340000,0.8420000000,15.1773000000,0.0035025700,0.0034721400,0.0031378400,0.0031079900,976.6870000000,968.0310000000,920.5740000000,912.0080000000,,,,,,,,,,
271.6170000000,18.7972000000,481.0000000000,272.4880000000,0.2250010000,0.8470000000,15.1600000000,0.0035024000,0.0034719700,0.0031320600,0.0031022100,976.2690000000,967.6110000000,919.2930000000,910.7260000000,,,,,,,,,,
273.6150000000,19.0803000000,481.0000000000,274.5060000000,0.2266670000,0.8510000000,15.1426000000,0.0035019900,0.0034720300,0.0031262800,0.0030964400,975.7970000000,967.2450000000,917.9960000000,909.4610000000,,,,,,,,,,
275.6130000000,19.3657000000,481.0000000000,276.5250000000,0.2283340000,0.8560000000,15.1251000000,0.0035018100,0.0034718700,0.0031204100,0.0030905700,975.3700000000,966.8220000000,916.6930000000,908.1600000000,,,,,,,,,,
277.6110000000,19.6532000000,480.0000000000,278.5430000000,0.2300000000,0.8600000000,15.1074000000,0.0035017300,0.0034716000,0.0031145400,0.0030847000,974.9650000000,966.3760000000,915.3970000000,906.8520000000,,,,,,,,,,
279.6090000000,19.9430000000,480.0000000000,280.5620000000,0.2316670000,0.8650000000,15.0896000000,0.0035014000,0.0034715800,0.0031085700,0.0030787400,974.4990000000,965.9790000000,914.0640000000,905.5410000000,,,,,,,,,,
281.6050000000,20.2348000000,480.0000000000,282.5800000000,0.2333340000,0.8700000000,15.0717000000,0.0035009500,0.0034716800,0.0031026100,0.0030727800,974.0070000000,965.6070000000,912.7240000000,904.2370000000,,,,,,,,,,
283.6030000000,20.5291000000,479.0000000000,284.5990000000,0.2350010000,0.8740000000,15.0536000000,0.0035009600,0.0034713100,0.0030965500,0.0030667300,973.6100000000,965.1280000000,911.3930000000,902.8840000000,,,,,,,,,,
285.5990000000,20.8254000000,479.0000000000,286.6170000000,0.2366670000,0.8780000000,15.0355000000,0.0035012500,0.0034706700,0.0030904900,0.0030606800,973.2740000000,964.5880000000,910.0810000000,901.5120000000,,,,,,,,,,
287.5950000000,21.1240000000,479.0000000000,288.6350000000,0.2383340000,0.8830000000,15.0172000000,0.0035010700,0.0034705000,0.0030843500,0.0030545300,972.8290000000,964.1440000000,908.7180000000,900.1490000000,,,,,,,,,,
289.5910000000,21.4247000000,479.0000000000,290.6530000000,0.2400000000,0.8870000000,14.9988000000,0.0035007400,0.0034704600,0.0030782000,0.0030483800,972.3520000000,963.7310000000,907.3460000000,898.7960000000,,,,,,,,,,
291.5870000000,21.7278000000,478.0000000000,292.6720000000,0.2416670000,0.8910000000,14.9802000000,0.0035007300,0.0034701100,0.0030719600,0.0030421400,971.9390000000,963.2430000000,905.9730000000,897.4010000000,,,,,,,,,,
293.5820000000,22.0330000000,478.0000000000,294.6900000000,0.2433340000,0.8960000000,14.9616000000,0.0035006000,0.0034698900,0.0030657200,0.0030359000,971.4970000000,962.7820000000,904.5930000000,896.0140000000,,,,,,,,,,
295.5770000000,22.3405000000,478.0000000000,296.7090000000,0.2450010000,0.9000000000,14.9428000000,0.0035001900,0.0034699400,0.0030593800,0.0030295600,970.9900000000,962.3750000000,903.1730000000,894.6250000000,,,,,,,,,,
297.5710000000,22.6502000000,477.0000000000,298.7270000000,0.2466670000,0.9040000000,14.9238000000,0.0034999500,0.0034698200,0.0030530400,0.0030232300,970.5180000000,961.9320000000,901.7640000000,893.2250000000,,,,,,,,,,
299.5660000000,22.9622000000,477.0000000000,300.7460000000,0.2483340000,0.9080000000,14.9048000000,0.0034996000,0.0034698000,0.0030466100,0.0030168000,970.0190000000,961.5030000000,900.3270000000,891.8100000000,,,,,,,,,,
301.5590000000,23.2762000000,477.0000000000,302.7640000000,0.2500000000,0.9120000000,14.8856000000,0.0034995000,0.0034695400,0.0030401700,0.0030103700,969.5710000000,961.0230000000,898.9060000000,890.3810000000,,,,,,,,,,
303.5530000000,23.5927000000,476.0000000000,304.7830000000,0.2516670000,0.9160000000,14.8663000000,0.0034996100,0.0034690600,0.0030336500,0.0030038400,969.1670000000,960.4870000000,897.4800000000,888.9150000000,,,,,,,,,,
305.5460000000,23.9113000000,476.0000000000,306.8010000000,0.2533340000,0.9200000000,14.8469000000,0.0034991800,0.0034691300,0.0030271200,0.0029973200,968.6410000000,960.0720000000,896.0170000000,887.4850000000,,,,,,,,,,
307.5390000000,24.2322000000,476.0000000000,308.8200000000,0.2550010000,0.9240000000,14.8273000000,0.0034988300,0.0034691100,0.0030205000,0.0029907000,968.1280000000,959.6320000000,894.5380000000,886.0300000000,,,,,,,,,,
309.5310000000,24.5553000000,475.0000000000,310.8380000000,0.2566670000,0.9280000000,14.8076000000,0.0034988000,0.0034687700,0.0030138800,0.0029840800,967.6850000000,959.1210000000,893.0810000000,884.5530000000,,,,,,,,,,
311.5230000000,24.8807000000,475.0000000000,312.8570000000,0.2583340000,0.9320000000,14.7878000000,0.0034984100,0.0034687900,0.0030071600,0.0029773700,967.1560000000,958.6830000000,891.5790000000,883.0800000000,,,,,,,,,,
313.5150000000,25.2083000000,475.0000000000,314.8750000000,0.2600000000,0.9360000000,14.7679000000,0.0034981200,0.0034687200,0.0030004400,0.0029706700,966.6490000000,958.2230000000,890.0830000000,881.6000000000,,,,,,,,,,
315.5060000000,25.5383000000,474.0000000000,316.8940000000,0.2616670000,0.9400000000,14.7478000000,0.0034984500,0.0034680200,0.0029936300,0.0029638600,966.2710000000,957.6210000000,888.6080000000,880.0580000000,,,,,,,,,,
317.4970000000,25.8703000000,474.0000000000,318.9110000000,0.2633340000,0.9440000000,14.7277000000,0.0034984700,0.0034676200,0.0029868300,0.0029570500,965.8290000000,957.0840000000,887.1140000000,878.5360000000,,,,,,,,,,
319.4880000000,26.2048000000,474.0000000000,320.9300000000,0.2650010000,0.9470000000,14.7074000000,0.0034980100,0.0034677100,0.0029799200,0.0029501500,965.2720000000,956.6480000000,885.5660000000,877.0240000000,,,,,,,,,,
321.4770000000,26.5414000000,473.0000000000,322.9480000000,0.2666670000,0.9510000000,14.6869000000,0.0034978700,0.0034674700,0.0029730100,0.0029432400,964.7860000000,956.1420000000,884.0390000000,875.4910000000,,,,,,,,,,
323.4680000000,26.8804000000,473.0000000000,324.9670000000,0.2683340000,0.9550000000,14.6664000000,0.0034976700,0.0034673000,0.0029660100,0.0029362400,964.2800000000,955.6430000000,882.4860000000,873.9410000000,,,,,,,,,,
325.4570000000,27.2215000000,473.0000000000,326.9850000000,0.2700000000,0.9580000000,14.6457000000,0.0034973200,0.0034672800,0.0029590100,0.0029292400,963.7410000000,955.1760000000,880.9240000000,872.4010000000,,,,,,,,,,
327.4460000000,27.5651000000,472.0000000000,329.0040000000,0.2716670000,0.9620000000,14.6249000000,0.0034970500,0.0034671700,0.0029519100,0.0029221500,963.2130000000,954.6850000000,879.3450000000,870.8350000000,,,,,,,,,,
329.4340000000,27.9107000000,472.0000000000,331.0220000000,0.2733340000,0.9650000000,14.6039000000,0.0034967400,0.0034671000,0.0029448100,0.0029150500,962.6780000000,954.2010000000,877.7650000000,869.2710000000,,,,,,,,,,
331.4230000000,28.2589000000,472.0000000000,333.0410000000,0.2750010000,0.9690000000,14.5829000000,0.0034969200,0.0034665500,0.0029376100,0.0029078600,962.2420000000,953.6050000000,876.1950000000,867.6530000000,,,,,,,,,,
333.4100000000,28.6091000000,471.0000000000,335.0590000000,0.2766670000,0.9720000000,14.5617000000,0.0034971400,0.0034659500,0.0029304100,0.0029006600,961.8160000000,953.0000000000,874.6280000000,866.0330000000,,,,,,,,,,
335.3980000000,28.9618000000,471.0000000000,337.0780000000,0.2783340000,0.9750000000,14.5404000000,0.0034966600,0.0034660500,0.0029231200,0.0028933700,961.2290000000,952.5420000000,872.9930000000,864.4360000000,,,,,,,,,,
337.3850000000,29.3165000000,471.0000000000,339.0960000000,0.2800000000,0.9790000000,14.5190000000,0.0034960300,0.0034663000,0.0029158300,0.0028860800,960.6110000000,952.1160000000,871.3490000000,862.8500000000,,,,,,,,,,
339.3720000000,29.6738000000,470.0000000000,341.1150000000,0.2816670000,0.9820000000,14.4974000000,0.0034957200,0.0034662400,0.0029084300,0.0028786900,960.0540000000,951.6140000000,869.7020000000,861.2220000000,,,,,,,,,,
341.3570000000,30.0332000000,470.0000000000,343.1320000000,0.2833340000,0.9850000000,14.4757000000,0.0034955500,0.0034660300,0.0029010400,0.0028713000,959.5300000000,951.0810000000,868.0660000000,859.5850000000,,,,,,,,,,
343.3440000000,30.3951000000,470.0000000000,345.1510000000,0.2850010000,0.9880000000,14.4539000000,0.0034955700,0.0034656200,0.0028935500,0.0028638200,959.0410000000,950.4980000000,866.4220000000,857.9130000000,,,,,,,,,,
345.3280000000,30.7590000000,469.0000000000,347.1690000000,0.2866670000,0.9920000000,14.4320000000,0.0034957400,0.0034650800,0.0028860600,0.0028563300,958.5830000000,949.8850000000,864.7860000000,856.2320000000,,,,,,,,,,
347.3140000000,31.1255000000,469.0000000000,349.1880000000,0.2883340000,0.9950000000,14.4099000000,0.0034954600,0.0034649700,0.0028784700,0.0028487500,958.0230000000,949.3610000000,863.1010000000,854.5580000000,,,,,,,,,,
349.2980000000,31.4941000000,469.0000000000,351.2060000000,0.2900000000,0.9980000000,14.3878000000,0.0034950400,0.0034650100,0.0028708800,0.0028411600,957.4290000000,948.8710000000,861.4050000000,852.8940000000,,,,,,,,,,
351.2820000000,31.8652000000,468.0000000000,353.2250000000,0.2916670000,1.0005700000,14.3655000000,0.0034949800,0.0034646900,0.0028631900,0.0028334800,956.9090000000,948.2940000000,859.7120000000,851.1840000000,,,,,,,,,,
353.2650000000,32.2384000000,468.0000000000,355.2430000000,0.2933340000,1.0035000000,14.3430000000,0.0034948900,0.0034644000,0.0028555100,0.0028257900,956.3830000000,947.7230000000,858.0160000000,849.4760000000,,,,,,,,,,
355.2490000000,32.6142000000,467.0000000000,357.2620000000,0.2950010000,1.0063800000,14.3205000000,0.0034947000,0.0034642100,0.0028477200,0.0028180100,955.8270000000,947.1680000000,856.2920000000,847.7520000000,,,,,,,,,,
357.2310000000,32.9920000000,467.0000000000,359.2800000000,0.2966670000,1.0092000000,14.2978000000,0.0034944200,0.0034641000,0.0028399300,0.0028102300,955.2540000000,946.6310000000,854.5630000000,846.0340000000,,,,,,,,,,
359.2140000000,33.3724000000,467.0000000000,361.2990000000,0.2983340000,1.0119800000,14.2750000000,0.0034943000,0.0034638500,0.0028320400,0.0028023400,954.7050000000,946.0560000000,852.8200000000,844.2850000000,,,,,,,,,,
361.1950000000,33.7549000000,466.0000000000,363.3170000000,0.3000000000,1.0147000000,14.2521000000,0.0034941600,0.0034636000,0.0028241600,0.0027944500,954.1560000000,945.4810000000,851.0780000000,842.5350000000,,,,,,,,,,
363.1770000000,34.1400000000,466.0000000000,365.3360000000,0.3016670000,1.0173800000,14.2290000000,0.0034935900,0.0034637900,0.0028161700,0.0027864700,953.5040000000,944.9960000000,849.2840000000,840.7930000000,,,,,,,,,,
365.1580000000,34.5271000000,465.0000000000,367.3540000000,0.3033340000,1.0200000000,14.2058000000,0.0034933600,0.0034636500,0.0028081800,0.0027784800,952.9250000000,944.4380000000,847.5130000000,839.0280000000,,,,,,,,,,
367.1390000000,34.9169000000,465.0000000000,369.3730000000,0.3050010000,1.0225700000,14.1825000000,0.0034935400,0.0034630900,0.0028000900,0.0027704000,952.4310000000,943.7820000000,845.7470000000,837.2140000000,,,,,,,,,,
369.1180000000,35.3087000000,465.0000000000,371.3900000000,0.3066670000,1.0250900000,14.1591000000,0.0034933800,0.0034628700,0.0027920000,0.0027623100,951.8630000000,943.2000000000,843.9580000000,835.4220000000,,,,,,,,,,
371.0980000000,35.7032000000,464.0000000000,373.4100000000,0.3083340000,1.0275600000,14.1356000000,0.0034929600,0.0034629000,0.0027838100,0.0027541200,951.2320000000,942.6680000000,842.1310000000,833.6250000000,,,,,,,,,,
373.0770000000,36.0997000000,464.0000000000,375.4270000000,0.3100000000,1.0299800000,14.1119000000,0.0034926300,0.0034628600,0.0027756100,0.0027459400,950.6180000000,942.1180000000,840.3080000000,831.8230000000,,,,,,,,,,
375.0560000000,36.4989000000,464.0000000000,377.4460000000,0.3116670000,1.0323400000,14.0881000000,0.0034927400,0.0034623700,0.0027673200,0.0027376500,950.0950000000,941.4640000000,838.4930000000,829.9690000000,,,,,,,,,,
377.0330000000,36.9002000000,463.0000000000,379.4640000000,0.3133340000,1.0346500000,14.0642000000,0.0034927600,0.0034619700,0.0027590300,0.0027293600,949.5530000000,940.8300000000,836.6720000000,828.1210000000,,,,,,,,,,
379.0120000000,37.3040000000,463.0000000000,381.4830000000,0.3150010000,1.0369000000,14.0402000000,0.0034924400,0.0034619100,0.0027506300,0.0027209700,948.9290000000,940.2630000000,834.8050000000,826.2730000000,,,,,,,,,,
380.9880000000,37.7101000000,462.0000000000,383.5010000000,0.3166670000,1.0391000000,14.0160000000,0.0034921000,0.0034618600,0.0027422400,0.0027125800,948.3020000000,939.7000000000,832.9380000000,824.4250000000,,,,,,,,,,
382.9650000000,38.1187000000,462.0000000000,385.5200000000,0.3183340000,1.0412500000,13.9917000000,0.0034917600,0.0034618300,0.0027337400,0.0027040800,947.6650000000,939.1330000000,831.0470000000,822.5560000000,,,,,,,,,,
384.9410000000,38.5294000000,461.0000000000,387.5380000000,0.3200000000,1.0433400000,13.9673000000,0.0034917100,0.0034615100,0.0027252400,0.0026955900,947.0940000000,938.5020000000,829.1760000000,820.6680000000,,,,,,,,,,
386.9170000000,38.9428000000,461.0000000000,389.5570000000,0.3216670000,1.0453800000,13.9428000000,0.0034913700,0.0034614600,0.0027166400,0.0026869900,946.4540000000,937.9250000000,827.2630000000,818.7760000000,,,,,,,,,,
388.8920000000,39.3583000000,461.0000000000,391.5750000000,0.3233340000,1.0473600000,13.9181000000,0.0034909000,0.0034615500,0.0027080300,0.0026784000,945.7830000000,937.3780000000,825.3420000000,816.8930000000,,,,,,,,,,
390.8670000000,39.7764000000,460.0000000000,393.5940000000,0.3250010000,1.0492900000,13.8933000000,0.0034908400,0.0034612400,0.0026993300,0.0026697000,945.1960000000,936.7360000000,823.4250000000,814.9610000000,,,,,,,,,,
392.8410000000,40.1967000000,460.0000000000,395.6120000000,0.3266670000,1.0511600000,13.8685000000,0.0034907500,0.0034609500,0.0026906300,0.0026610000,944.6020000000,936.0990000000,821.5060000000,813.0310000000,,,,,,,,,,
394.8150000000,40.6197000000,459.0000000000,397.6310000000,0.3283340000,1.0529800000,13.8434000000,0.0034906500,0.0034606700,0.0026818200,0.0026522000,944.0000000000,935.4580000000,819.5640000000,811.0780000000,,,,,,,,,,
396.7870000000,41.0447000000,459.0000000000,399.6480000000,0.3300000000,1.0547400000,13.8183000000,0.0034907200,0.0034602300,0.0026730200,0.0026434000,943.4340000000,934.7800000000,817.6330000000,809.1150000000,,,,,,,,,,
398.7610000000,41.4725000000,459.0000000000,401.6680000000,0.3316670000,1.0564400000,13.7930000000,0.0034907300,0.0034598500,0.0026641100,0.0026345000,942.8480000000,934.1090000000,815.6760000000,807.1320000000,,,,,,,,,,
400.7320000000,41.9024000000,458.0000000000,403.6850000000,0.3333340000,1.0580800000,13.7677000000,0.0034905700,0.0034596300,0.0026552000,0.0026255900,942.2260000000,933.4740000000,813.7080000000,805.1600000000,,,,,,,,,,
402.7040000000,42.3350000000,458.0000000000,405.7040000000,0.3350010000,1.0596700000,13.7421000000,0.0034903300,0.0034594900,0.0026461800,0.0026165700,941.5800000000,932.8490000000,811.7100000000,803.1700000000,,,,,,,,,,
404.6750000000,42.7697000000,457.0000000000,407.7220000000,0.3366670000,1.0612000000,13.7165000000,0.0034899700,0.0034594800,0.0026371600,0.0026075600,940.9060000000,932.2530000000,809.7050000000,801.1880000000,,,,,,,,,,
406.6460000000,43.2071000000,457.0000000000,409.7410000000,0.3383340000,1.0626700000,13.6908000000,0.0034895600,0.0034595300,0.0026280400,0.0025984400,940.2140000000,931.6610000000,807.6720000000,799.1860000000,,,,,,,,,,
408.6150000000,43.6466000000,456.0000000000,411.7590000000,0.3400000000,1.0640700000,13.6649000000,0.0034894000,0.0034593200,0.0026189100,0.0025893200,939.5760000000,931.0150000000,805.6550000000,797.1690000000,,,,,,,,,,
410.5850000000,44.0889000000,456.0000000000,413.7780000000,0.3416680000,1.0654300000,13.6389000000,0.0034894300,0.0034589300,0.0026096800,0.0025800900,938.9740000000,930.3200000000,803.6280000000,795.1150000000,,,,,,,,,,
412.5530000000,44.5333000000,455.0000000000,415.7960000000,0.3433340000,1.0667200000,13.6128000000,0.0034892300,0.0034587600,0.0026004500,0.0025708700,938.3220000000,929.6740000000,801.5870000000,793.0760000000,,,,,,,,,,
414.5220000000,44.9804000000,455.0000000000,417.8150000000,0.3450010000,1.0679500000,13.5865000000,0.0034887600,0.0034588600,0.0025911100,0.0025615300,937.6030000000,929.0810000000,799.5030000000,791.0310000000,,,,,,,,,,
416.4890000000,45.4297000000,455.0000000000,419.8330000000,0.3466670000,1.0691200000,13.5602000000,0.0034883700,0.0034588800,0.0025817700,0.0025522000,936.9020000000,928.4710000000,797.4250000000,788.9820000000,,,,,,,,,,
418.4570000000,45.8818000000,454.0000000000,421.8520000000,0.3483340000,1.0702300000,13.5337000000,0.0034885000,0.0034584000,0.0025723300,0.0025427600,936.3070000000,927.7420000000,795.3570000000,786.8750000000,,,,,,,,,,
420.4230000000,46.3360000000,454.0000000000,423.8700000000,0.3500000000,1.0712800000,13.5071000000,0.0034885500,0.0034579800,0.0025628800,0.0025333200,935.6960000000,927.0280000000,793.2850000000,784.7730000000,,,,,,,,,,
422.3900000000,46.7929000000,453.0000000000,425.8890000000,0.3516680000,1.0722600000,13.4803000000,0.0034881900,0.0034579800,0.0025533300,0.0025237800,934.9870000000,926.3990000000,791.1620000000,782.6750000000,,,,,,,,,,
424.3550000000,47.2520000000,453.0000000000,427.9060000000,0.3533340000,1.0731900000,13.4535000000,0.0034880900,0.0034577300,0.0025437800,0.0025142300,934.3340000000,925.7140000000,789.0560000000,780.5600000000,,,,,,,,,,
426.3200000000,47.7139000000,452.0000000000,429.9260000000,0.3550010000,1.0740500000,13.4265000000,0.0034879400,0.0034575200,0.0025341200,0.0025045700,933.6650000000,925.0310000000,786.9230000000,778.4240000000,,,,,,,,,,
428.2840000000,48.1779000000,452.0000000000,431.9430000000,0.3566670000,1.0748500000,13.3994000000,0.0034877300,0.0034573800,0.0025244600,0.0024949200,932.9810000000,924.3630000000,784.7860000000,776.2930000000,,,,,,,,,,
430.2490000000,48.6448000000,451.0000000000,433.9620000000,0.3583340000,1.0755900000,13.3722000000,0.0034876800,0.0034570700,0.0025146900,0.0024851500,932.3270000000,923.6510000000,782.6350000000,774.1260000000,,,,,,,,,,
432.2110000000,49.1137000000,451.0000000000,435.9800000000,0.3600000000,1.0762600000,13.3449000000,0.0034874500,0.0034569500,0.0025049200,0.0024753900,931.6330000000,922.9810000000,780.4730000000,771.9710000000,,,,,,,,,,
434.1740000000,49.5855000000,450.0000000000,437.9990000000,0.3616680000,1.0768700000,13.3174000000,0.0034871700,0.0034568800,0.0024950300,0.0024655100,930.9180000000,922.3160000000,778.2820000000,769.7970000000,,,,,,,,,,
436.1350000000,50.0595000000,450.0000000000,440.0170000000,0.3633340000,1.0774200000,13.2899000000,0.0034871000,0.0034566100,0.0024851500,0.0024556300,930.2510000000,921.6040000000,776.1060000000,767.6080000000,,,,,,,,,,
438.0980000000,50.5363000000,449.0000000000,442.0360000000,0.3650010000,1.0779000000,13.2622000000,0.0034868700,0.0034564900,0.0024751600,0.0024456500,929.5420000000,920.9200000000,773.8950000000,765.4050000000,,,,,,,,,,
440.0580000000,51.0152000000,449.0000000000,444.0540000000,0.3666670000,1.0783200000,13.2343000000,0.0034864300,0.0034565900,0.0024651700,0.0024356600,928.7860000000,920.2830000000,771.6700000000,763.2170000000,,,,,,,,,,
442.0180000000,51.4970000000,449.0000000000,446.0730000000,0.3683340000,1.0786700000,13.2064000000,0.0034864500,0.0034562300,0.0024550600,0.0024255600,928.1240000000,919.5380000000,769.4500000000,760.9740000000,,,,,,,,,,
443.9770000000,51.9810000000,448.0000000000,448.0910000000,0.3700000000,1.0789500000,13.1783000000,0.0034863700,0.0034559700,0.0024449600,0.0024154700,927.4410000000,918.8150000000,767.2250000000,758.7380000000,,,,,,,,,,
445.9370000000,52.4678000000,448.0000000000,450.1100000000,0.3716680000,1.0791700000,13.1502000000,0.0034860800,0.0034559200,0.0024347500,0.0024052600,926.7030000000,918.1320000000,764.9600000000,756.4910000000,,,,,,,,,,
447.8940000000,52.9568000000,447.0000000000,452.1280000000,0.3733340000,1.0793200000,13.1219000000,0.0034860400,0.0034556300,0.0024245300,0.0023950500,926.0210000000,917.3950000000,762.7130000000,754.2280000000,,,,,,,,,,
449.8530000000,53.4486000000,447.0000000000,454.1470000000,0.3750010000,1.0794100000,13.0934000000,0.0034857200,0.0034556200,0.0024142100,0.0023847300,925.2710000000,916.7110000000,760.4220000000,751.9590000000,,,,,,,,,,
451.8090000000,53.9426000000,446.0000000000,456.1640000000,0.3766670000,1.0794300000,13.0649000000,0.0034854400,0.0034555700,0.0024038800,0.0023744100,924.5280000000,916.0190000000,758.1340000000,749.6880000000,,,,,,,,,,
453.7660000000,54.4396000000,446.0000000000,458.1840000000,0.3783340000,1.0793800000,13.0363000000,0.0034854900,0.0034551900,0.0023934400,0.0023639800,923.8510000000,915.2490000000,755.8430000000,747.3700000000,,,,,,,,,,
455.7210000000,54.9387000000,445.0000000000,460.2010000000,0.3800000000,1.0792600000,13.0075000000,0.0034853200,0.0034550300,0.0023830000,0.0023535400,923.1260000000,914.5260000000,753.5380000000,745.0670000000,,,,,,,,,,
457.6770000000,55.4407000000,445.0000000000,462.2200000000,0.3816680000,1.0790800000,12.9786000000,0.0034849600,0.0034550700,0.0023724500,0.0023430000,922.3500000000,913.8400000000,751.1950000000,742.7520000000,,,,,,,,,,
459.6300000000,55.9449000000,444.0000000000,464.2380000000,0.3833340000,1.0788300000,12.9496000000,0.0034848400,0.0034548700,0.0023619000,0.0023324600,921.6280000000,913.1000000000,748.8680000000,740.4210000000,,,,,,,,,,
461.5850000000,56.4520000000,444.0000000000,466.2570000000,0.3850010000,1.0785000000,12.9205000000,0.0034848200,0.0034545700,0.0023512300,0.0023218000,920.9200000000,912.3330000000,746.5230000000,738.0590000000,,,,,,,,,,
463.5370000000,56.9613000000,443.0000000000,468.2750000000,0.3866670000,1.0781100000,12.8912000000,0.0034847000,0.0034543700,0.0023405700,0.0023111400,920.1910000000,911.5860000000,744.1710000000,735.7040000000,,,,,,,,,,
465.4900000000,57.4735000000,443.0000000000,470.2940000000,0.3883340000,1.0776500000,12.8618000000,0.0034845200,0.0034542400,0.0023297900,0.0023003700,919.4420000000,910.8460000000,741.7900000000,733.3270000000,,,,,,,,,,
467.4410000000,57.9879000000,442.0000000000,472.3120000000,0.3900000000,1.0771200000,12.8324000000,0.0034843200,0.0034541300,0.0023190100,0.0022896000,918.6870000000,910.1120000000,739.4080000000,730.9530000000,,,,,,,,,,
469.3930000000,58.5054000000,441.0000000000,474.3310000000,0.3916680000,1.0765200000,12.8028000000,0.0034842200,0.0034539200,0.0023081200,0.0022787100,917.9470000000,909.3480000000,737.0070000000,728.5460000000,,,,,,,,,,
471.3430000000,59.0249000000,441.0000000000,476.3490000000,0.3933340000,1.0758400000,12.7731000000,0.0034839700,0.0034538700,0.0022972200,0.0022678200,917.1730000000,908.6190000000,734.5960000000,726.1500000000,,,,,,,,,,
473.2930000000,59.5475000000,440.0000000000,478.3680000000,0.3950010000,1.0751000000,12.7432000000,0.0034838400,0.0034537000,0.0022862100,0.0022568200,916.4190000000,907.8550000000,732.1680000000,723.7200000000,,,,,,,,,,
475.2410000000,60.0723000000,440.0000000000,480.3850000000,0.3966670000,1.0742800000,12.7133000000,0.0034839100,0.0034533300,0.0022752000,0.0022458100,915.7080000000,907.0490000000,729.7520000000,721.2770000000,,,,,,,,,,
