R,Zinv,Z,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top,,,,,,,,,,
84.7485000000,1.7988000000,498.0000000000,84.7739000000,0.0700001000,0.2940000000,16.2208000000,0.0035134700,0.0034838600,0.0034785400,0.0034485900,1001.5400000000,993.0620000000,996.1710000000,987.6360000000,,,,,,,,,,
86.7651000000,1.8855900000,498.0000000000,86.7925000000,0.0716668000,0.3000000000,16.2153000000,0.0035133000,0.0034838900,0.0034767600,0.0034468200,1001.3900000000,992.9520000000,995.7690000000,987.2490000000,,,,,,,,,,
88.7815000000,1.9744300000,498.0000000000,88.8108000000,0.0733334000,0.3070000000,16.2097000000,0.0035134100,0.0034836400,0.0034749700,0.0034450500,1001.3000000000,992.7820000000,995.3840000000,986.8440000000,,,,,,,,,,
90.7980000000,2.0653400000,498.0000000000,90.8293000000,0.0750002000,0.3140000000,16.2040000000,0.0035134700,0.0034834500,0.0034731200,0.0034431900,1001.1900000000,992.6170000000,994.9790000000,986.4230000000,,,,,,,,,,
92.8142000000,2.1582600000,498.0000000000,92.8476000000,0.0766667000,0.3210000000,16.1981000000,0.0035133900,0.0034833900,0.0034712600,0.0034413300,1001.0500000000,992.4810000000,994.5660000000,986.0110000000,,,,,,,,,,
94.8305000000,2.2533000000,498.0000000000,94.8662000000,0.0783335000,0.3280000000,16.1921000000,0.0035136100,0.0034830300,0.0034693200,0.0034393800,1000.9700000000,992.2740000000,994.1540000000,985.5590000000,,,,,,,,,,
96.8464000000,2.3503400000,498.0000000000,96.8845000000,0.0800001000,0.3340000000,16.1860000000,0.0035136700,0.0034828200,0.0034673800,0.0034374300,1000.8500000000,992.1000000000,993.7330000000,985.1170000000,,,,,,,,,,
98.8626000000,2.4494600000,498.0000000000,98.9031000000,0.0816669000,0.3410000000,16.1797000000,0.0035135100,0.0034828400,0.0034653600,0.0034354000,1000.6900000000,991.9690000000,993.2770000000,984.6700000000,,,,,,,,,,
100.8780000000,2.5506300000,497.0000000000,100.9210000000,0.0833334000,0.3480000000,16.1733000000,0.0035133500,0.0034828600,0.0034633400,0.0034333600,1000.5200000000,991.8390000000,992.8220000000,984.2240000000,,,,,,,,,,
102.8940000000,2.6538400000,497.0000000000,102.9400000000,0.0850002000,0.3550000000,16.1668000000,0.0035129000,0.0034831500,0.0034612200,0.0034312500,1000.2800000000,991.7640000000,992.3270000000,983.7790000000,,,,,,,,,,
104.9100000000,2.7591200000,497.0000000000,104.9580000000,0.0866667000,0.3610000000,16.1601000000,0.0035127400,0.0034831600,0.0034591000,0.0034291400,1000.1000000000,991.6270000000,991.8510000000,983.3160000000,,,,,,,,,,
