R,Zinv,Sinv,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top
254.7270000000,56.8953000000,263.1360000000,390.2480000000,0.4030000000,-0.1870000000,0.1450000000,0.0022933500,0.0007010900,-0.0007886160,-0.0006835740,452.0360000000,109.0150000000,-22.1124000000,-104.0100000000
255.3720000000,57.2220000000,263.8580000000,389.5260000000,0.4040000000,-0.1960000000,0.1250000000,0.0023130300,0.0006921990,-0.0008176400,-0.0007171260,454.4470000000,104.8490000000,-27.1937000000,-111.9710000000
256.0150000000,57.5510000000,264.5800000000,388.8040000000,0.4050000000,-0.2040000000,0.1070000000,0.0023327700,0.0006832430,-0.0008466580,-0.0007506740,456.8730000000,100.6680000000,-32.2697000000,-119.9340000000
256.6560000000,57.8823000000,265.3030000000,388.0810000000,0.4060000000,-0.2120000000,0.0888000000,0.0023440600,0.0006808300,-0.0008727870,-0.0007813640,457.6310000000,98.1145000000,-37.2679000000,-126.8380000000
257.2970000000,58.2159000000,266.0250000000,387.3590000000,0.4070000000,-0.2200000000,0.0717000000,0.0023552700,0.0006784900,-0.0008989120,-0.0008120500,458.3740000000,95.5770000000,-42.2703000000,-133.7370000000
257.9360000000,58.5519000000,266.7470000000,386.6370000000,0.4080000000,-0.2270000000,0.0555000000,0.0023591200,0.0006815900,-0.0009220960,-0.0008397530,457.6900000000,94.4316000000,-47.1123000000,-139.6210000000
258.5740000000,58.8901000000,267.4690000000,385.9150000000,0.4090000000,-0.2340000000,0.0400000000,0.0023629700,0.0006846810,-0.0009452760,-0.0008674530,457.0070000000,93.2846000000,-51.9529000000,-145.5050000000
259.2110000000,59.2307000000,268.1910000000,385.1930000000,0.4100000000,-0.2410000000,0.0253000000,0.0023602600,0.0006924030,-0.0009655030,-0.0008921010,455.0790000000,93.3567000000,-56.5768000000,-150.4130000000
259.8470000000,59.5735000000,268.9140000000,384.4700000000,0.4120000000,-0.2470000000,0.0115000000,0.0023576400,0.0007000360,-0.0009857260,-0.0009167440,453.1710000000,93.4094000000,-61.1940000000,-155.3260000000
260.4810000000,59.9187000000,269.6360000000,383.7480000000,0.4130000000,-0.2530000000,-0.0016000000,0.0023492700,0.0007115330,-0.0010030200,-0.0009383150,450.1900000000,94.5139000000,-65.5474000000,-159.3090000000
261.1150000000,60.2661000000,270.3580000000,383.0260000000,0.4140000000,-0.2580000000,-0.0139000000,0.0023408700,0.0007230550,-0.0010203200,-0.0009598830,447.2040000000,95.6243000000,-69.9024000000,-163.2890000000
261.7460000000,60.6159000000,271.0800000000,382.3040000000,0.4150000000,-0.2640000000,-0.0255000000,0.0023277500,0.0007374680,-0.0010347500,-0.0009783990,443.3680000000,97.5711000000,-73.9389000000,-166.4090000000
262.3770000000,60.9679000000,271.8030000000,381.5810000000,0.4160000000,-0.2680000000,-0.0363000000,0.0023146700,0.0007518300,-0.0010491700,-0.0009969120,439.5430000000,99.5069000000,-77.9717000000,-169.5300000000
263.0070000000,61.3221000000,272.5250000000,380.8590000000,0.4170000000,-0.2730000000,-0.0464000000,0.0022974700,0.0007685570,-0.0010608200,-0.0010124300,434.9940000000,102.1600000000,-81.6661000000,-171.8390000000
263.6350000000,61.6787000000,273.2470000000,380.1370000000,0.4180000000,-0.2770000000,-0.0557000000,0.0022802200,0.0007853250,-0.0010724700,-0.0010279500,430.4360000000,104.8220000000,-85.3630000000,-174.1440000000
264.2610000000,62.0375000000,273.9690000000,379.4150000000,0.4190000000,-0.2800000000,-0.0644000000,0.0022596900,0.0008037050,-0.0010814500,-0.0010405700,425.3310000000,108.0300000000,-88.6908000000,-175.7040000000
264.8870000000,62.3986000000,274.6920000000,378.6920000000,0.4200000000,-0.2840000000,-0.0724000000,0.0022391500,0.0008220940,-0.0010904300,-0.0010531800,420.2240000000,111.2400000000,-92.0188000000,-177.2640000000
265.5110000000,62.7619000000,275.4140000000,377.9700000000,0.4220000000,-0.2870000000,-0.0798000000,0.0022158200,0.0008416880,-0.0010968800,-0.0010630000,414.6730000000,114.8980000000,-94.9735000000,-178.1320000000
266.1340000000,63.1275000000,276.1360000000,377.2480000000,0.4230000000,-0.2890000000,-0.0865000000,0.0021925200,0.0008612640,-0.0011033200,-0.0010728300,409.1250000000,118.5530000000,-97.9268000000,-179.0000000000
266.7550000000,63.4954000000,276.8580000000,376.5260000000,0.4240000000,-0.2920000000,-0.0926000000,0.0021671500,0.0008814360,-0.0011073800,-0.0010800000,403.2820000000,122.5130000000,-100.4920000000,-179.2470000000
267.3760000000,63.8654000000,277.5810000000,375.8030000000,0.4250000000,-0.2940000000,-0.0982000000,0.0021417700,0.0009016150,-0.0011114400,-0.0010871800,397.4370000000,126.4750000000,-103.0570000000,-179.4930000000
267.9950000000,64.2378000000,278.3030000000,375.0810000000,0.4260000000,-0.2960000000,-0.1030000000,0.0021149100,0.0009219240,-0.0011132700,-0.0010918600,391.4130000000,130.6300000000,-105.2300000000,-179.1820000000
268.6120000000,64.6123000000,279.0250000000,374.3590000000,0.4270000000,-0.2970000000,-0.1080000000,0.0020880500,0.0009422350,-0.0011151000,-0.0010965300,385.3890000000,134.7860000000,-107.4030000000,-178.8710000000
269.2280000000,64.9891000000,279.7470000000,373.6370000000,0.4280000000,-0.2980000000,-0.1110000000,0.0020600600,0.0009624380,-0.0011148700,-0.0010988800,379.2530000000,139.0710000000,-109.1980000000,-178.0550000000
