R,Zinv,Z,S,S_normal,U1,U2,E11_bot,E11_top,E22_bot,E22_top,S11_bot,S11_top,S22_bot,S22_top
227.259,117.549,822.144,256.563,2.10E-01,-1.90E-01,-3.53715,-8.03E-04,-7.91E-04,-8.36E-04,-8.35E-04,-231.719,-228.946,-236.733,-235.759
230.603,119.874,819.819,260.636,2.13E-01,-1.92E-01,-3.53454,-8.15E-04,-8.03E-04,-8.33E-04,-8.33E-04,-234.129,-231.327,-236.93,-235.913
233.937,122.213,817.48,264.708,2.17E-01,-1.94E-01,-3.53172,-8.27E-04,-8.15E-04,-8.31E-04,-8.30E-04,-236.501,-233.707,-237.059,-236.013
237.261,124.565,815.128,268.78,2.20E-01,-1.96E-01,-3.5287,-8.39E-04,-8.26E-04,-8.27E-04,-8.26E-04,-238.842,-236.078,-237.126,-236.057
240.576,126.931,812.762,272.853,2.23E-01,-1.98E-01,-3.52548,-8.50E-04,-8.38E-04,-8.24E-04,-8.23E-04,-241.184,-238.411,-237.14,-236.039
243.881,129.31,810.383,276.925,2.27E-01,-2.00E-01,-3.52206,-8.62E-04,-8.50E-04,-8.20E-04,-8.19E-04,-243.522,-240.712,-237.102,-235.961
247.176,131.703,807.99,280.998,2.30E-01,-2.02E-01,-3.51844,-8.74E-04,-8.61E-04,-8.16E-04,-8.15E-04,-245.823,-243.015,-237.002,-235.834
250.462,134.109,805.584,285.07,2.33E-01,-2.03E-01,-3.51462,-8.85E-04,-8.73E-04,-8.12E-04,-8.10E-04,-248.101,-245.306,-236.845,-235.654
253.738,136.528,803.165,289.143,2.37E-01,-2.05E-01,-3.5106,-8.97E-04,-8.85E-04,-8.08E-04,-8.06E-04,-250.373,-247.57,-236.637,-235.417
257.003,138.961,800.732,293.215,2.40E-01,-2.06E-01,-3.50638,-9.08E-04,-8.96E-04,-8.03E-04,-8.01E-04,-252.61,-249.835,-236.37,-235.134
260.259,141.407,798.286,297.288,2.43E-01,-2.07E-01,-3.50198,-9.20E-04,-9.08E-04,-7.98E-04,-7.96E-04,-254.84,-252.075,-236.054,-234.798
263.505,143.867,795.826,301.36,2.47E-01,-2.09E-01,-3.49737,-9.32E-04,-9.20E-04,-7.93E-04,-7.91E-04,-257.081,-254.275,-235.696,-234.404
266.741,146.339,793.354,305.432,2.50E-01,-2.10E-01,-3.49258,-9.44E-04,-9.31E-04,-7.87E-04,-7.85E-04,-259.293,-256.473,-235.283,-233.965
269.967,148.825,790.868,309.505,2.53E-01,-2.11E-01,-3.48759,-9.55E-04,-9.43E-04,-7.82E-04,-7.79E-04,-261.484,-258.662,-234.819,-233.478
273.183,151.324,788.369,313.577,2.57E-01,-2.12E-01,-3.48242,-9.67E-04,-9.55E-04,-7.76E-04,-7.73E-04,-263.666,-260.832,-234.306,-232.94
276.388,153.836,785.857,317.65,2.60E-01,-2.12E-01,-3.47705,-9.78E-04,-9.66E-04,-7.70E-04,-7.67E-04,-265.816,-263.006,-233.738,-232.359
279.583,156.361,783.332,321.722,2.63E-01,-2.13E-01,-3.47149,-9.90E-04,-9.78E-04,-7.64E-04,-7.61E-04,-267.949,-265.17,-233.122,-231.733
282.768,158.899,780.794,325.795,2.67E-01,-2.14E-01,-3.46574,-1.00E-03,-9.90E-04,-7.57E-04,-7.54E-04,-270.087,-267.304,-232.464,-231.055
285.943,161.449,778.244,329.867,2.70E-01,-2.14E-01,-3.45982,-1.01E-03,-1.00E-03,-7.50E-04,-7.48E-04,-272.197,-269.439,-231.756,-230.337
289.107,164.013,775.68,333.939,2.73E-01,-2.15E-01,-3.45371,-1.02E-03,-1.01E-03,-7.44E-04,-7.41E-04,-274.289,-271.568,-231.002,-229.578
292.261,166.59,773.103,338.012,2.77E-01,-2.15E-01,-3.44742,-1.04E-03,-1.03E-03,-7.36E-04,-7.33E-04,-276.394,-273.66,-230.213,-228.768
295.404,169.179,770.514,342.084,2.80E-01,-2.15E-01,-3.44095,-1.05E-03,-1.04E-03,-7.29E-04,-7.26E-04,-278.49,-275.737,-229.381,-227.915
298.536,171.782,767.911,346.157,2.83E-01,-2.15E-01,-3.4343,-1.06E-03,-1.05E-03,-7.22E-04,-7.18E-04,-280.56,-277.818,-228.503,-227.025
